user id,VehicleModel,BatteryCapacitykWh,Charging_StationID,Charging StationLocation,Charging StartTime,Charging EndTime,Energy ConsumedKWh,ChargingDuration_hours,ChargingRateKW,ChargingCostUSD,TimeofDay,DayofWeek,State_of_Charge_Start%,State_of_Charge_End%,Distance_Driven_km,TemperatureC,VehicleAge_years,ChargerType,UserType
U0059,NISSAN LEAF,55,S277,CHICAGO,2023-06-03 00:21:31,2023-06-03 07:29:55.000000000,10.02,7.14,5.63,$4.86,Mornin,Saturday#,53%,83%,116.02,32.5,3,Level ,Long-Distance Traveler#
NA,NA,57,NA,NA,NA,NA,7.09,1.64,44.96,$18.02,NA,NA,52%,83%,218.59,16.91,1,NA,NA
U0061,AUDI E-TRON,83,S208,San Francisc,2023-10-06 03:22:04,2023-10-06 08:53:16.000000000,58.9,5.52,47.21,$32.04,Morning#,wednesday,48%,93%,130.5,39.34,7,dc fast charger,LONG-DISTANCE TRAVELER
U0062,Tesla Model ,48,S234,seattle,2023-05-03 09:42:33,2023-05-03 11:40:09.000000000,67.16,1.96,8.68,$24.03,Afternoon#,SUNDAY,29%,91%,21.63,17.31,1,DC Fast Charger#,commuter
U0063,HYUNDAI KONA,31,S325,SEATTLE,2023-05-28 07:15:36,2023-05-28 13:01:12.000000000,46.9,5.76,12.99,$39.25,MORNING,THURSDAY,22%,81%,107.93,-3.39,4,DC Fast Charger#,LONG-DISTANCE TRAVELER
NA,NA,63,NA,NA,NA,NA,77.29,1.2,19.25,$32.03,NA,NA,52%,87%,46.47,4.49,4,NA,NA
U0065,Nissan Leaf ,85,S311,San Francisc,2023-03-10 14:23:26,2023-03-10 15:39:02.000000000,22.46,1.26,40.71,$32.32,AFTERNOON,Thursday#,46%,84%,209.8,20.81,0,LEVEL 1,COMMUTER
U0066,Chevy Bol,54,S019,Chicago#,2023-03-11 15:35:49,2023-03-11 18:41:13.000000000,32.29,3.09,41.86,$29.3,Afternoon ,Saturda,74%,95%,225.45,-4.02,1,DC Fast Charger#,long-distance traveler
NA,NA,63,NA,NA,NA,NA,45.34,6.4,46.62,$19.31,NA,NA,78%,90%,215.15,27.2,8,NA,NA
NA,NA,50,NA,NA,NA,NA,26.73,5.71,26.94,$26.31,NA,NA,55%,91%,213.11,12.22,1,NA,NA
U0069,audi e-tron,92,S032,Seattle#,2023-07-07 11:32:59,2023-07-07 17:19:11.000000000,73.09,5.77,30.14,$44.42,Evenin,Thursda,39%,89%,123.45,-7.64,3,DC Fast Charger#,Long-Distance Traveler 
U0070,Audi e-Tro,71,S449,los angeles,2023-03-06 03:14:02,2023-03-06 06:45:50.000000000,12.58,3.53,40.02,$31.35,Evening#,Monday ,61%,84%,194.84,21.7,7,Level ,commuter
NA,NA,58,NA,NA,NA,NA,62.38,6.99,15.91,$28.67,NA,NA,72%,90%,233.43,29.18,7,NA,NA
U0072,TESLA MODEL 3,96,S478,SEATTLE,2023-01-24 23:02:54,2023-01-25 03:42:30.000000000,44.17,4.66,29.08,$47.24,Evenin,Saturday ,67%,97%,73.23,36.29,4,Level 1 ,Commute
U0073,Hyundai Kon,55,S297,Los Angele,2023-12-29 02:54:19,2023-12-29 05:18:55.000000000,28.8,2.41,41.02,$23.44,Mornin,THURSDAY,58%,88%,261.38,5.0,5,DC Fast Charger#,COMMUTER
U0074,Hyundai Kon,48,S041,New York ,2023-01-10 08:01:28,2023-01-10 14:30:16.000000000,24.42,6.48,39.58,$44.65,morning,Tuesday ,29%,93%,270.05,-4.44,4,level 2,Long-Distance Traveler 
U0075,Tesla Model 3#,48,S266,San Francisco#,2023-06-17 13:26:23,2023-06-17 18:38:59.000000000,36.7,5.21,2.55,$25.31,Evening#,Tuesda,22%,94%,266.1,24.73,3,Level ,long-distance traveler
U0076,Nissan Lea,43,S469,LOS ANGELES,2023-10-09 06:03:49,2023-10-09 10:50:01.000000000,75.86,4.77,30.14,$36.56,Morning#,monday,36%,90%,138.64,37.49,1,Level ,COMMUTER
NA,NA,46,NA,NA,NA,NA,9.08,5.27,36.77,$4.56,NA,NA,14%,86%,179.33,11.43,5,NA,NA
U0078,hyundai kona,45,S267,LOS ANGELES,2023-02-13 08:56:27,2023-02-13 10:15:03.000000000,30.5,1.31,43.14,$29.04,Nigh,Friday#,65%,89%,52.61,2.4,6,LEVEL 2,commuter
U0079,audi e-tron,89,S266,San Francisco#,2023-10-07 11:12:34,2023-10-07 13:07:10.000000000,39.52,1.91,18.64,$19.29,Afternoo,Thursday ,43%,95%,273.51,4.05,7,Level 1#,LONG-DISTANCE TRAVELER
U0080,Nissan Leaf ,55,S122,san francisco,2023-06-20 11:57:41,2023-06-20 19:09:05.000000000,44.18,7.19,10.05,$19.72,morning,sunday,39%,88%,272.15,21.3,2,Level ,long-distance traveler
U0081,NISSAN LEAF,88,S002,los angeles,2023-01-12 22:02:24,2023-01-12 23:46:48.000000000,67.38,1.74,5.63,$3.18,Afternoon ,Thursday#,44%,81%,45.37,5.98,7,DC Fast Charger#,commuter
U0082,HYUNDAI KONA,49,S359,new york,2023-08-29 02:19:36,2023-08-29 07:32:48.000000000,60.18,5.22,18.63,$33.72,MORNING,Saturday#,64%,96%,60.49,1.61,5,dc fast charger,Long-Distance Travele
U0083,AUDI E-TRON,78,S363,Seattl,2023-01-13 16:25:20,2023-01-13 23:34:56.000000000,49.78,7.16,37.68,$10.71,Mornin,Thursday ,33%,89%,244.46,-4.1,6,Level ,commuter
U0084,Chevy Bolt ,39,S427,San Francisco ,2023-06-10 20:46:09,2023-06-11 00:16:45.000000000,23.86,3.51,10.58,$42.62,Morning ,Monday#,10%,98%,206.01,7.87,9,DC Fast Charger#,Commute
U0085,CHEVY BOLT,61,S067,Chicago#,2023-08-13 23:29:42,2023-08-14 07:11:06.000000000,51.71,7.69,24.59,$46.57,Nigh,Tuesday ,48%,91%,202.03,21.79,9,DC Fast Charger ,LONG-DISTANCE TRAVELER
U0086,Audi e-Tro,82,S296,seattle,2023-10-14 06:44:49,2023-10-14 08:24:25.000000000,39.21,1.66,8.71,$12.54,night,Tuesda,52%,88%,163.25,-3.53,8,level 1,Long-Distance Traveler#
U0087,Audi e-Tron ,59,S219,LOS ANGELES,2023-08-28 17:19:32,2023-08-29 00:30:56.000000000,19.35,7.19,40.53,$47.35,Afternoo,THURSDAY,58%,83%,241.3,-2.28,1,DC Fast Charge,Commuter#
U0088,NISSAN LEAF,44,S177,new york,2023-03-17 11:34:42,2023-03-17 13:07:06.000000000,76.29,1.54,9.92,$10.76,Evening#,Tuesda,29%,82%,48.51,-4.2,6,dc fast charger,COMMUTER
NA,NA,72,NA,NA,NA,NA,76.16,4.17,44.75,$35.8,NA,NA,12%,97%,96.46,23.52,0,NA,NA
U0090,tesla model 3,67,S032,chicago,2023-02-20 15:12:30,2023-02-20 22:20:54.000000000,47.44,7.14,35.78,$43.77,night,TUESDAY,50%,89%,262.51,24.41,4,level 1,Long-Distance Traveler#
U0091,hyundai kona,88,S435,seattle,2023-01-23 05:25:40,2023-01-23 07:00:27.999999999,16.44,1.58,38.72,$49.81,Night#,Friday#,73%,81%,102.3,18.92,7,Level 2#,Long-Distance Traveler 
U0092,Audi e-Tro,55,S371,Los Angele,2023-07-30 16:23:07,2023-07-30 20:44:07.000000000,19.03,4.35,4.74,$20.59,Morning#,Wednesday#,37%,99%,225.05,9.33,5,Level ,Commute
U0093,Hyundai Kon,73,S066,Chicag,2023-06-23 06:47:12,2023-06-23 10:38:48.000000000,32.33,3.86,32.97,$39.52,Afternoo,Thursda,27%,81%,19.0,27.93,1,DC Fast Charger ,COMMUTER
U0094,Nissan Lea,44,S300,chicago,2023-04-08 03:27:49,2023-04-08 05:08:01.000000000,71.41,1.67,26.48,$34.49,EVENING,MONDAY,73%,82%,63.26,-1.77,7,DC Fast Charger ,Long-Distance Travele
U0095,CHEVY BOLT,67,S167,New York ,2023-02-03 11:25:45,2023-02-03 15:16:45.000000000,30.94,3.85,43.47,$41.08,Mornin,sunday,15%,88%,275.8,11.72,9,DC Fast Charger#,Commuter 
U0096,Tesla Model ,78,S116,San Francisco#,2023-10-16 01:47:16,2023-10-16 07:37:04.000000000,29.73,5.83,16.77,$15.2,night,Sunday ,32%,98%,16.92,29.6,3,Level 1 ,Long-Distance Traveler 
NA,NA,59,NA,NA,NA,NA,67.72,1.3,35.24,$47.39,NA,NA,29%,96%,268.35,30.18,2,NA,NA
U0098,Tesla Model 3#,63,S316,San Francisc,2023-01-29 13:43:41,2023-01-29 18:02:53.000000000,77.58,4.32,44.79,$18.85,night,Sunday#,21%,90%,135.48,12.96,3,Level 2 ,LONG-DISTANCE TRAVELER
U0099,Nissan Lea,47,S086,San Francisco#,2023-10-10 09:53:09,2023-10-10 16:34:33.000000000,23.15,6.69,17.35,$35.31,Evenin,Thursday ,49%,92%,20.58,2.85,3,DC Fast Charger#,LONG-DISTANCE TRAVELER
U0100,chevy bolt,97,S294,Seattl,2023-09-21 12:18:51,2023-09-21 13:59:03.000000000,46.05,1.67,24.2,$12.47,Morning ,Sunda,24%,98%,14.82,-9.66,0,Level 1#,Commute
U0101,HYUNDAI KONA,70,S270,San Francisc,2023-10-21 04:14:44,2023-10-21 11:36:56.000000000,24.6,7.37,12.46,$43.92,Evenin,Sunday ,58%,96%,151.35,32.55,3,DC FAST CHARGER,Commuter 
NA,NA,55,NA,NA,NA,NA,57.16,7.39,9.43,$8.65,NA,NA,71%,86%,159.18,28.06,7,NA,NA
U0103,TESLA MODEL 3,51,S470,Los Angele,2023-11-14 19:01:21,2023-11-14 19:45:09.000000000,79.28,0.73,24.62,$31.54,NIGHT,TUESDAY,73%,95%,176.37,37.62,6,dc fast charger,COMMUTER
U0104,TESLA MODEL 3,62,S308,Chicag,2023-12-19 06:55:07,2023-12-19 11:56:55.000000000,70.58,5.03,4.18,$30.67,Evening#,wednesday,32%,86%,69.46,25.56,3,DC Fast Charger#,Long-Distance Travele
U0105,Hyundai Kona#,80,S317,Los Angeles#,2023-10-10 04:24:14,2023-10-10 08:59:38.000000000,50.75,4.59,12.44,$26.64,morning,Monda,15%,81%,19.81,39.85,4,DC Fast Charge,long-distance traveler
U0106,chevy bolt,81,S101,new york,2023-11-16 00:04:18,2023-11-16 01:40:18.000000000,57.71,1.6,37.78,$36.99,night,Friday ,72%,99%,81.66,14.7,2,Level 1#,Long-Distance Traveler#
U0107,Tesla Model 3#,49,S030,Chicago#,2023-10-20 02:05:16,2023-10-20 09:54:28.000000000,19.67,7.82,43.19,$34.21,Mornin,Monda,77%,85%,235.73,-8.15,5,DC Fast Charge,long-distance traveler
NA,NA,47,NA,NA,NA,NA,35.83,4.07,9.17,$49.87,NA,NA,26%,85%,228.74,5.29,6,NA,NA
U0109,Tesla Model 3 ,73,S110,San Francisco#,2023-10-31 16:52:43,2023-10-31 18:13:43.000000000,57.93,1.35,20.77,$5.05,night,Saturday ,17%,92%,233.54,11.89,1,level 2,Commuter 
U0110,Chevy Bolt#,85,S189,Chicag,2023-04-13 11:45:39,2023-04-13 14:21:03.000000000,48.89,2.59,6.62,$10.04,Afternoon ,sunday,20%,81%,69.63,14.17,8,DC Fast Charger ,COMMUTER
U0111,Hyundai Kona ,91,S274,New York#,2023-06-27 01:06:43,2023-06-27 07:44:31.000000000,29.02,6.63,28.75,$9.22,Afternoon ,TUESDAY,13%,96%,110.38,-1.78,5,DC Fast Charge,commuter
U0112,AUDI E-TRON,71,S319,new york,2023-05-11 18:00:47,2023-05-12 00:05:35.000000000,27.73,6.08,8.19,$14.66,afternoon,Sunda,48%,86%,46.34,-8.94,5,Level ,Commuter 
U0113,CHEVY BOLT,37,S172,Los Angeles#,2023-08-17 22:53:12,2023-08-18 02:26:48.000000000,14.54,3.56,47.7,$30.72,NIGHT,WEDNESDAY,33%,93%,292.77,23.28,2,DC Fast Charger#,commuter
U0114,Nissan Lea,77,S328,Chicago#,2023-07-23 02:49:58,2023-07-23 05:56:34.000000000,60.66,3.11,30.67,$34.82,Night ,Saturday#,15%,95%,195.38,-9.78,4,Level 1#,LONG-DISTANCE TRAVELER
U0115,Tesla Model ,91,S323,New York#,2023-09-30 00:35:30,2023-09-30 03:10:17.999999999,70.46,2.58,48.62,$34.18,AFTERNOON,SATURDAY,77%,83%,35.21,-5.95,6,Level ,Long-Distance Travele
U0116,chevy bolt,65,S298,San Francisco#,2023-03-08 13:56:17,2023-03-08 17:50:53.000000000,12.29,3.91,6.72,$12.58,Nigh,Sunday ,65%,99%,203.99,38.24,8,Level 2#,LONG-DISTANCE TRAVELER
U0117,tesla model 3,94,S428,Los Angeles ,2023-08-13 10:59:23,2023-08-13 12:41:59.000000000,74.11,1.71,18.15,$27.15,Morning#,Wednesday#,65%,98%,231.13,0.5,4,Level 1#,Commuter 
U0118,audi e-tron,39,S449,CHICAGO,2023-10-29 01:31:52,2023-10-29 02:55:52.000000000,57.57,1.4,47.57,$8.02,Evening#,Monday ,45%,98%,40.18,-1.73,9,LEVEL 1,long-distance traveler
U0119,Audi e-Tron#,79,S385,seattle,2023-01-08 16:43:35,2023-01-08 21:20:11.000000000,29.46,4.61,26.25,$8.68,EVENING,Frida,34%,85%,27.7,9.9,3,Level 1 ,LONG-DISTANCE TRAVELER
U0120,Nissan Leaf#,71,S220,San Francisc,2023-11-15 09:06:49,2023-11-15 16:42:13.000000000,22.56,7.59,20.28,$42.48,Morning ,TUESDAY,77%,87%,284.13,36.54,4,LEVEL 2,Commute
U0121,Chevy Bolt ,87,S366,Los Angeles ,2023-04-13 11:14:12,2023-04-13 12:22:36.000000000,63.78,1.14,25.12,$11.7,Evening#,Saturday#,13%,85%,57.99,19.21,2,DC Fast Charger#,COMMUTER
U0122,tesla model 3,60,S384,new york,2023-04-19 10:38:49,2023-04-19 11:44:49.000000000,53.72,1.1,21.71,$47.45,morning,Saturday#,22%,92%,109.72,33.99,5,LEVEL 1,Long-Distance Traveler#
U0123,nissan leaf,84,S191,Los Angele,2023-09-22 00:40:38,2023-09-22 02:11:14.000000000,65.56,1.51,10.68,$7.69,night,SATURDAY,17%,99%,256.8,6.08,2,dc fast charger,commuter
U0124,Audi e-Tro,39,S375,chicago,2023-05-03 01:37:34,2023-05-03 09:30:58.000000000,61.67,7.89,22.84,$27.03,Evening ,Monda,52%,87%,44.52,-1.46,3,Level 2#,long-distance traveler
U0125,Tesla Model 3 ,54,S199,Los Angele,2023-02-21 21:06:35,2023-02-22 00:52:11.000000000,23.94,3.76,32.23,$35.45,Evening#,Saturday ,20%,86%,53.98,20.39,2,dc fast charger,Commuter 
U0126,tesla model 3,44,S224,San Francisc,2023-03-19 23:16:58,2023-03-20 04:45:10.000000000,33.13,5.47,12.9,$34.79,EVENING,Sunda,34%,84%,150.65,25.57,5,DC Fast Charger#,Commute
